Filename	Segment label	F1 (Hz)	F2 (Hz)	F3 (Hz)
p112	b	195.48641152010458	2288.6625437809366	3203.7263634665937
p112	i	355.385096469966	2107.4554091607506	3025.8003546610807
p112	s	1695.2574599997065	2399.9331147616463	3698.5882121937602
p112	k	1212.6028205047317	1807.1996053251007	2908.7163811817395
p112	o	418.9162266998518	823.6854164521785	2230.9360961091284
p112	sp	524.0025895733352	1598.424601943616	2558.399017385341
p112	s	1074.924711870001	2095.5157099361186	3294.571875388164
p112	e	477.7220452150827	1705.257561435741	2196.743407196061
p112	rf	392.4454265443373	1712.1982141918015	2430.906204458924
p112	o	434.1994595562871	901.1266201848707	2278.0213061655245
p112	sp	587.317638793202	2064.8037614694044	3010.8491544589288
p112	l	354.2593979947871	1147.092283336489	2371.6561117287315
p112	o	460.0839917933432	877.1581239119277	2018.3351903195785
p112	x	683.7837442827755	1465.9739000473578	3396.803267783607
p112	i	402.0041104111579	2115.397529162333	2737.2510193286225
p112	k	273.43242364625416	1787.5931573262822	2543.7907720164444
p112	a	576.2252672547863	1412.51333383141	1895.985097396309
p112	sp	1132.5713645741287	2027.1419066211135	2953.799804430499
p112	p	897.7449193147508	1806.1570467180934	2900.087527501435
p112	u	379.016067375915	832.8895034159222	2379.610838346246
p112	l	328.9296579530001	742.2701870034898	2217.163613936632
