Participant,Vowel,F1 (Hz),F2 (Hz),F3 (Hz),t1_ph,t2_ph,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph,Gender
p124,a,730.8123579587599,1912.8098136003007,2927.213955535089,288.741,288.841,0.10000000000002274,288.421,289.01099999999997,vaciar,False,False,j,rf,Female
p124,a,919.6713594711383,1775.6000737857987,3046.171552569547,290.324,290.48400000000004,0.15999999999996814,290.324,290.834,alba,True,False,sp,l,Female
p124,a,913.262760424362,1655.9651545138345,3145.469201012972,290.67400000000004,290.834,0.16000000000002498,290.324,290.834,alba,False,True,b,sp,Female
p124,a,794.9616797132331,1834.0387184758065,2867.4057869211524,295.642,295.692,0.05000000000001137,295.322,296.512,encadenado,False,False,k,D,Female
p124,a,783.1214034225546,1753.1995684258484,3230.257901612077,295.982,296.122,0.13999999999998636,295.322,296.512,encadenado,False,False,n,D,Female
p124,a,725.0597247931978,1867.8601797215345,3186.5264602738353,300.599,300.719,0.12000000000000455,300.35900000000004,301.069,brillante,False,False,L,n,Female
p124,a,959.7295702456354,1888.7051739412368,3021.039091402952,306.77299999999997,306.923,0.14999999999997726,306.453,307.043,general,False,False,rf,l,Female
p124,a,873.0529825716502,1720.019275068995,3025.793574935394,311.373,311.493,0.12000000000000455,311.153,312.123,abánicos,False,False,b,n,Female
p124,a,816.4907902565938,1790.0949381739829,3087.9099897872497,313.70099999999996,313.77099999999996,0.06999999999999318,313.611,314.191,vanidad,False,False,b,n,Female
p124,a,883.4823762557187,1847.1554446933603,3135.953203868121,314.01099999999997,314.191,0.17999999999994998,313.611,314.191,vanidad,False,True,D,sp,Female
p124,a,762.9929598046318,1595.8476725031421,3149.014198881333,315.70099999999996,315.82099999999997,0.12000000000000455,315.601,316.171,vaso,False,False,b,s,Female
p124,a,783.7351710256868,1885.5743357227561,2625.404831802829,333.273,333.353,0.07999999999998407,333.223,334.37300000000005,carbohidratos,False,False,k,rf,Female
p124,a,859.8907823972853,1813.4307808912495,2963.219759993787,333.833,333.93300000000005,0.0999999999999659,333.223,334.37300000000005,carbohidratos,False,False,rf,t,Female
p124,a,689.6807100114622,2020.0480246676689,3189.268861107038,335.94699999999995,336.027,0.07999999999998407,335.577,336.18699999999995,señal,False,False,n~,l,Female
p124,a,863.3479157170793,1685.2488705279573,2937.4989748168764,339.166,339.276,0.11000000000001364,339.166,339.866,anchas,True,False,s,n,Female
p124,a,763.4993724454844,1904.6795912661048,3178.668468267527,339.526,339.606,0.07999999999998407,339.166,339.866,anchas,False,False,tS,s,Female
p124,a,775.7988199710753,1911.425927891888,2902.261328125593,344.158,344.228,0.06999999999999318,343.81800000000004,344.648,literatura,False,False,rf,t,Female
p124,a,793.235280929261,1740.1352878649689,2963.634022660644,344.51800000000003,344.648,0.1300000000000523,343.81800000000004,344.648,literatura,False,True,rf,sp,Female
p124,a,796.9709536504606,1827.3685107008807,2757.9509211190466,346.32300000000004,346.413,0.09000000000003182,346.00300000000004,346.82300000000004,excavador,False,False,k,b,Female
p124,a,716.4298541314847,1607.5860788320929,2935.437560429373,346.483,346.543,0.060000000000002274,346.00300000000004,346.82300000000004,excavador,False,False,b,D,Female
p124,a,846.3959300516768,1676.3701708492938,3045.7206656413123,350.773,350.89300000000003,0.1199999999999477,350.673,351.31300000000005,válido,False,False,b,l,Female
p124,a,799.9042997494838,1664.1857075114347,2734.564960694428,378.17,378.24,0.06999999999999318,377.97,378.66,acabar,False,False,k,b,Female
p124,a,910.8057400212629,1748.7735071591376,3010.750584129261,378.33,378.46,0.12999999999999545,377.97,378.66,acabar,False,False,b,rf,Female
p124,a,849.6261977542508,1779.5285649194955,2936.7299362781096,391.222,391.30199999999996,0.08000000000004093,391.042,391.962,abastecer,False,False,b,s,Female
p124,a,922.1143299457553,1608.998710837266,3113.3337837377667,393.861,393.971,0.11000000000001364,393.661,394.58099999999996,abandonar,False,False,b,n,Female
p124,a,653.0501534772236,1661.346637699469,3327.8643988632202,396.17900000000003,396.339,0.16000000000002498,395.819,396.339,zona,False,True,n,sp,Female
p124,a,808.7173167949236,1716.0029034953366,2951.1723650285585,401.186,401.256,0.06999999999999318,401.07599999999996,401.726,balada,False,False,b,l,Female
p124,a,932.3739584952212,1820.9506253179293,3229.0268828361804,401.586,401.726,0.13999999999998636,401.07599999999996,401.726,balada,False,True,D,sp,Female
p124,a,1007.6188956556557,1795.1173613320334,3287.214986920613,403.30199999999996,403.412,0.1099999999999568,403.30199999999996,403.93199999999996,albino,True,False,sp,l,Female
p124,a,725.1184647518593,1874.4271362316824,3302.485257866041,406.724,406.834,0.11000000000001364,406.314,407.23400000000004,terminarás,False,False,n,rf,Female
p124,a,868.6613906288683,1877.0797515195113,3032.2083723899877,406.884,407.034,0.14999999999997726,406.314,407.23400000000004,terminarás,False,False,rf,s,Female
p124,a,703.7529476971048,1921.1634726279722,2803.502652031632,416.05199999999996,416.13199999999995,0.07999999999998407,415.73199999999997,416.842,ubicaciones,False,False,k,T,Female
p124,a,797.3636320749182,1533.594609081174,2788.5139708548,418.874,418.934,0.060000000000002274,418.814,419.394,vaquera,False,False,b,k,Female
p124,a,861.0234205008252,1816.7516124446688,3056.9876293543603,419.23400000000004,419.394,0.16000000000002498,418.814,419.394,vaquera,False,True,rf,sp,Female
p124,o,268.05795721424846,903.2480638100784,3390.962066044221,28.846999999999998,28.997,0.14999999999999858,28.456999999999997,28.997,bajo,False,True,x,sp,Female
p124,o,457.1632456166064,797.5447643032862,2735.65707474483,38.905,39.005,0.10000000000000142,38.785,39.355,zombi,False,False,T,m,Female
p124,o,769.5243326583316,1294.1871709991244,2760.7808623291203,41.809,41.958999999999996,0.15000000000000568,41.288999999999994,41.958999999999996,básico,False,True,k,sp,Female
p124,o,672.7570971310903,862.2492381058287,3059.8134870565086,52.323,52.383,0.060000000000002274,51.973,52.463,árbol,False,False,b,l,Female
p124,o,592.6473786267793,1145.9264155656695,3185.836077179176,59.168,59.298,0.13000000000000256,58.898,59.368,valor,False,False,l,rf,Female
p124,o,869.1807829105127,1054.2092988996874,2918.239997546967,61.765,61.955,0.18999999999999773,61.145,61.955,arbusto,False,True,t,sp,Female
p124,o,524.5921976842463,1125.0634509875777,3242.144883930218,67.706,67.906,0.20000000000000284,67.38600000000001,67.906,libro,False,True,rf,sp,Female
p124,o,705.0588266563956,1186.6660111254935,3064.807114447051,77.575,77.665,0.09000000000000341,77.345,78.135,barómetro,False,False,rf,m,Female
p124,o,553.4121833013561,1060.9568329696556,3144.3826258176455,81.527,81.577,0.049999999999997165,81.197,81.817,carbono,False,False,b,n,Female
p124,o,565.9285344857628,1670.4267124730468,3139.979019914373,84.596,84.706,0.10999999999999943,84.226,84.706,cero,False,True,rf,sp,Female
p124,o,581.8791504307909,1773.336867931201,2783.0117815055987,88.431,88.59100000000001,0.1599999999999966,88.051,88.59100000000001,pisco,False,True,k,sp,Female
p124,o,527.5078166818699,1119.9317644580015,3104.496996445969,90.78399999999999,90.834,0.049999999999997165,90.654,91.314,lógica,False,False,l,x,Female
p124,o,485.6759732727105,1057.1924521266963,3069.3248636415033,101.264,101.36399999999999,0.10000000000000853,100.934,101.61399999999999,zigoto,False,False,G,t,Female
p124,o,452.95309529791183,990.234747229178,2994.882841984001,101.494,101.61399999999999,0.12000000000000455,100.934,101.61399999999999,zigoto,False,True,t,sp,Female
p124,o,685.0689765440543,1789.7561009447968,3023.691194823177,104.225,104.305,0.0800000000000125,103.795,104.715,vacaciones,False,False,j,n,Female
p124,o,478.7650773408433,863.4325615644037,3146.1453033742,106.62100000000001,106.691,0.07000000000000739,106.20100000000001,106.851,balcón,False,False,k,ng,Female
p124,o,733.926015100127,808.3257631400992,3197.6490097865612,112.41,112.49,0.0799999999999983,112.3,112.81,boca,False,False,b,k,Female
p124,o,457.0394514531753,1126.8007630862821,3081.680332577133,117.50399999999999,117.694,0.18999999999999773,116.814,117.694,hambriento,False,True,t,sp,Female
p124,o,258.6606360470273,1323.4480871402106,2795.3713924776384,120.008,120.18799999999999,0.18000000000000682,119.52799999999999,120.18799999999999,vecino,False,True,n,sp,Female
p124,o,633.6610868558132,1120.6759896134295,3207.701689325864,122.81200000000001,122.992,0.18000000000000682,122.31200000000001,122.992,vampiro,False,True,rf,sp,Female
p124,o,633.8554841011669,1072.602297262892,3109.09669773333,124.695,124.825,0.13000000000000966,124.415,124.995,cebolla,False,False,b,L,Female
p124,o,560.9389775773476,875.9915269350781,3243.5334299167616,126.352,126.47200000000001,0.11999999999999035,126.352,126.84200000000001,hotel,True,False,sp,t,Female
p124,o,627.848199489795,1205.46849173461,2974.3341050772874,129.106,129.166,0.060000000000002274,128.836,129.626,vagoneta,False,False,G,n,Female
p124,o,579.9276175062625,887.7341337540857,3141.3572548719344,131.127,131.227,0.09999999999999433,131.067,131.607,polvo,False,False,p,l,Female
p124,o,807.4665147169587,1028.1330643386104,3022.168473372275,137.597,137.787,0.18999999999999773,136.787,137.787,balsámico,False,True,k,sp,Female
p124,o,331.57505288987056,1097.6079008922554,3032.078466133981,166.132,166.162,0.030000000000001137,166.062,166.602,control,False,False,k,n,Female
p124,o,674.7822157319855,1265.5053706968856,2912.9739381773993,166.412,166.49200000000002,0.07999999999998407,166.062,166.602,control,False,False,rf,l,Female
p124,o,755.6413251594929,1056.6605758993574,3048.0779023522277,175.581,175.74099999999999,0.16000000000002498,175.201,175.74099999999999,apio,False,True,j,sp,Female
p124,o,546.3665061208188,820.9902775817752,3070.374143103069,188.812,188.972,0.1599999999999966,188.472,189.02200000000002,vapor,False,False,p,rf,Female
p124,o,711.8005964596382,1681.556801763626,2991.900731157383,192.046,192.11599999999999,0.0700000000000216,191.296,192.196,intervención,False,False,j,ng,Female
p124,o,573.0038092999944,696.2763081133484,3114.903842750264,194.831,194.99099999999999,0.16000000000002498,194.78099999999998,195.201,tos,False,False,t,s,Female
p124,o,699.9859776412428,1544.0810784410614,3000.754764542354,205.109,205.179,0.06999999999999318,204.489,205.299,salvación,False,False,j,ng,Female
p124,o,586.0717194054615,1100.6578846485688,3263.848637788637,207.46099999999998,207.611,0.14999999999997726,207.00099999999998,207.611,líquido,False,True,D,sp,Female
