Participant,Vowel,F1.50,F2.50,F3.50,F1.25,F2.25,F3.25,F1.75,F2.75,F3.75,Gender,Corpus,t1_ph,t2_ph,fname,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph
s053,o,431.71435309991256,1011.765787457741,1736.7513358416102,370.12102965320173,1633.1136864533044,2894.673727612647,522.286625525008,1616.3941827183664,3130.7091280021973,Female,DIMEx100,3.259,3.318,textgrids/dime/s05348.TextGrid,0.05900000000000016,2.666,3.383,información,False,False,i,n
s053,e,426.59575639824516,1572.2539790174997,2914.472940725464,440.85053574331545,1661.4342312609278,2993.4442352506544,410.6622913708911,1665.4159534362052,3116.930331798107,Female,DIMEx100,3.421,3.459,textgrids/dime/s05348.TextGrid,0.038000000000000256,3.383,4.001,relacionada,False,False,r,l
s053,a,640.9194809969139,1989.5131984940624,3045.3843230913135,642.9639513262134,2047.452748120567,3114.0599230908942,539.1254755637646,1998.5561217478055,3002.125299819198,Female,DIMEx100,3.504,3.566,textgrids/dime/s05348.TextGrid,0.06199999999999983,3.383,4.001,relacionada,False,False,l,s
s053,i,261.6531989464277,1953.906098365835,2914.450105313582,237.38655744774,2007.6129898588351,2889.379589672145,294.0569637961405,1990.06233022764,3026.639238978392,Female,DIMEx100,3.673,3.72,textgrids/dime/s05348.TextGrid,0.04700000000000015,3.383,4.001,relacionada,False,False,s,n
s053,a,764.773949752732,1654.6636617932993,3232.222973439331,685.5332932562711,1730.6750882020544,3204.7474609814367,786.9015070709255,1647.8000300070644,3205.5662368673775,Female,DIMEx100,3.778,3.864,textgrids/dime/s05348.TextGrid,0.08599999999999985,3.383,4.001,relacionada,False,False,n,d
s053,a,819.5965108694822,1811.1929576162436,3043.020529542288,817.1629040799318,1788.9173271221532,3046.4260506422834,717.0224649042948,1885.72264318286,3056.042699735882,Female,DIMEx100,3.935,4.001,textgrids/dime/s05348.TextGrid,0.06600000000000028,3.383,4.001,relacionada,False,True,d,k
s053,o,457.2015799973106,1169.397798124154,3458.9775975676966,314.8567830000392,1025.2277730672447,3346.4018140621265,451.0713407751256,1267.2232663066607,3393.7715188587613,Female,DIMEx100,4.115,4.168,textgrids/dime/s05348.TextGrid,0.052999999999999936,4.001,4.21,con,False,False,k,n
s053,a,719.5006946216471,1954.3428909644192,3251.9192740908898,650.6057184280816,1884.7265986129557,3149.843480837107,737.0505351484151,1878.6955032334688,3096.0197902252708,Female,DIMEx100,4.265,4.33,textgrids/dime/s05348.TextGrid,0.06500000000000039,4.21,4.33,la,False,True,l,a
s053,a,640.8268556728068,1963.8097626609879,3047.6506784776047,746.3651802608396,1967.5917879390008,3019.53521384932,345.61818115717784,1948.0876487505923,2961.883434561177,Female,DIMEx100,4.33,4.385,textgrids/dime/s05348.TextGrid,0.054999999999999716,4.33,5.057,asignatura,True,False,a,s
s053,i,367.184087431785,2524.519429417586,2966.9546195045955,313.3384765916296,2485.355224718623,2971.908021923385,369.1162791898357,2461.549875281404,2971.145056442626,Female,DIMEx100,4.497,4.548,textgrids/dime/s05348.TextGrid,0.051000000000000156,4.33,5.057,asignatura,False,False,s,g
s053,a,813.3376920418725,1882.4809130447697,2929.741678718501,525.5679456833492,1778.8461107202206,3030.595346196444,704.8500979357609,1813.4850210963216,2874.5048573772283,Female,DIMEx100,4.673,4.742,textgrids/dime/s05348.TextGrid,0.06899999999999995,4.33,5.057,asignatura,False,False,n,t
