Participant,Vowel,F1.50,F2.50,F3.50,F1.25,F2.25,F3.25,F1.75,F2.75,F3.75,Gender,Corpus,t1_ph,t2_ph,fname,dur_ph,t1_wd,t2_wd,word,is_wdinit_ph,is_wdfin_ph,prev_ph,next_ph,upper_f1,lower_f1,upper_f2,lower_f2,upper,lower,Speech Rate,stress_vowel,vowel_ind,stress,Delta F.50,Delta F.25,Delta F.75,F1.50_norm,F2.50_norm,F1.25_norm,F2.25_norm,F1.75_norm,F2.75_norm,Dur_ms,Dur_norm,Dur_log
s051,e,696.7900696680819,2177.5104466576054,2315.973828038688,622.9182937263698,2157.075920390392,2168.4383950122447,693.854632205348,2071.0673523518085,2172.3131157471835,Female,DIMEx100,0.241,0.29600000000000004,textgrids/dime/s05120.TextGrid,0.05499999999999999,0.116,0.629,tenemos,False,False,t,n,740.9141537446469,308.05109380309983,2893.6123228318083,1301.7558071299354,3592.4748888974113,1569.193417160664,2.19526610565422,1,1,stressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.598126449289019,1.8691807596647787,0.5407323836414379,1.8724780053427237,0.6110330248856238,1.82385544509107,54.99999999999999,120.7396358109821,4.007333185232471
s051,e,424.4751791179376,1331.7274544251754,2052.032467385556,399.9974094803051,628.3188555464773,2138.687604329961,411.0606010413037,1996.2488854676528,3176.532228751104,Female,DIMEx100,3.219,3.258,textgrids/dime/s05116.TextGrid,0.03900000000000015,3.219,3.903,establecidas,True,False,s,s,740.9141537446469,308.05109380309983,2893.6123228318083,1301.7558071299354,3592.4748888974113,1569.193417160664,2.19526610565422,3,2,unstressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.3643706228736491,1.143158389320142,0.34722299032960563,0.5454204120641071,0.3619945602542804,1.757967646673951,39.00000000000015,85.61537812051492,3.6635616461296503
s051,e,519.1517434572061,2207.801490195748,2764.5165412526258,515.2577462431362,2180.3731195097507,2536.484767696265,535.4900306183371,2118.782019262655,2928.564417210459,Female,DIMEx100,1.027,1.084,textgrids/dime/s05143.TextGrid,0.05700000000000016,0.743,1.209,sistema,False,False,t,m,740.9141537446469,308.05109380309983,2893.6123228318083,1301.7558071299354,3592.4748888974113,1569.193417160664,2.19526610565422,1,1,stressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.4456412375454472,1.8951826720131548,0.4472762352973287,1.8927014441770849,0.4715715338886454,1.8658746749134285,57.00000000000016,125.13016802229092,4.043051267834553
s051,e,445.54195130729926,1703.8064384001275,2466.5109134531203,458.7296780756256,2002.247835302025,2383.1702694647493,423.5596691652137,2393.156237618004,2965.4255344649096,Female,DIMEx100,2.675,2.719,textgrids/dime/s05147.TextGrid,0.04400000000000004,2.419,3.44,biotecnología,False,False,t,k,740.9141537446469,308.05109380309983,2893.6123228318083,1301.7558071299354,3592.4748888974113,1569.193417160664,2.19526610565422,4,2,unstressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.38245439615934745,1.4625519789073422,0.3982063053390816,1.738077458196089,0.3730016834318394,2.1074983534344365,44.00000000000004,96.59170864878578,3.7841896339182624
s051,e,523.6385857706337,2493.08104703378,2943.6180471759253,453.2636503346823,2193.006055404586,2546.505793550287,505.63996260252924,2534.1611643554197,3081.194591032041,Female,DIMEx100,1.247,1.2919999999999998,textgrids/dime/s05121.TextGrid,0.04499999999999993,0.8440000000000001,1.771,intrínsecamente,False,False,s,k,740.9141537446469,308.05109380309983,2893.6123228318083,1301.7558071299354,3592.4748888974113,1569.193417160664,2.19526610565422,1,1,stressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.4494927549224508,2.140067402456513,0.3934614483663808,1.9036676296425008,0.4452845041476049,2.2316722983921755,44.99999999999993,98.78697475443975,3.8066624897703183
s051,e,562.4818960087558,1913.8048397453506,2890.050778098647,607.1276674591874,2106.6513208404094,2964.8519504829633,522.8436631422173,1457.2289229892779,2890.524624886132,Female,DIMEx100,1.31,1.3769999999999998,textgrids/dime/s05105.TextGrid,0.06699999999999995,1.242,1.3769999999999998,te,False,True,t,g,740.9141537446469,308.05109380309983,2893.6123228318083,1301.7558071299354,3592.4748888974113,1569.193417160664,2.19526610565422,0,0,stressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.4828359557554177,1.6428151652251686,0.5270251236899501,1.8287062712590807,0.4604346936715699,1.283287529456801,66.99999999999994,147.08282907883262,4.204692619390965
s051,e,638.4241413129935,2327.392590033773,2471.62681142408,599.3904003010813,2183.6062675234925,2419.583200848485,598.9241723789028,2460.384357797972,2503.9063712646216,Female,DIMEx100,0.127,0.203,textgrids/dime/s05144.TextGrid,0.07600000000000001,0.05,0.536,textos,False,False,t,k,740.9141537446469,308.05109380309983,2893.6123228318083,1301.7558071299354,3592.4748888974113,1569.193417160664,2.19526610565422,0,1,unstressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.5480249811336019,1.9978399902306208,0.5203086875932584,1.8955080206570882,0.5274338913939718,2.166701823043591,76.00000000000001,166.84022402972076,4.330733340286331
s051,e,507.0703451248922,2252.539486999582,2418.672595430673,516.5318952280549,1827.1360800851362,2623.107611644662,470.0618410709679,2178.198325941855,2889.2036753347925,Female,DIMEx100,5.8260000000000005,5.897,textgrids/dime/s05123.TextGrid,0.07100000000000062,5.596,6.215,etcétera,False,False,s,t,740.9141537446469,308.05109380309983,2893.6123228318083,1301.7558071299354,3592.4748888974113,1569.193417160664,2.19526610565422,1,1,stressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.4352705330800472,1.9335858874742011,0.448382277012058,1.586069405525768,0.4139531471022801,1.9181987841902242,71.00000000000063,155.863893501451,4.262679877041324
s051,e,681.0939915719596,2217.27842561236,2839.783809801447,677.2153927098802,1962.5592505814345,2477.021047508709,607.9140820733912,2410.135080249594,2773.5158920984754,Female,DIMEx100,0.403,0.452,textgrids/dime/s05103.TextGrid,0.04899999999999999,0.332,0.901,sectorial,False,False,s,k,740.9141537446469,308.05109380309983,2893.6123228318083,1301.7558071299354,3592.4748888974113,1569.193417160664,2.19526610565422,2,1,unstressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.5846528940991913,1.9033176985837537,0.587865691579037,1.7036252624017765,0.5353507250636016,2.1224505251008026,48.999999999999986,107.56803917705676,3.8918202981106265
s051,e,637.7196931872803,1949.5784383596285,1978.1975237143488,618.5737022692757,1502.2982964768116,2015.0964211832752,618.0431068055611,1793.3766793659893,1891.1466250303924,Female,DIMEx100,2.51,2.568,textgrids/dime/s05140.TextGrid,0.058000000000000274,2.35,2.568,hace,False,True,s,r,740.9141537446469,308.05109380309983,2893.6123228318083,1301.7558071299354,3592.4748888974113,1569.193417160664,2.19526610565422,0,0,stressed,1164.9544515149635,1151.989990929468,1135.5435859383006,0.5474202809886329,1.6735233174346873,0.5369610041231241,1.30408971284959,0.5442707038804431,1.5793111788695642,58.00000000000027,127.32543412794537,4.060443010546424
